"sampleGroup","caseId","sourceDomain","discipline","rating","reviewStatus","createdAt","sourceUrl"
"国内高校","fb977e71-f61a-4578-a3b1-db610f20de24","news.pku.edu.cn","生命科学","0","approved","2026-05-29T03:04:02.819Z","https://news.pku.edu.cn/jxky/e986c54fd8084dbab5d32f572050c28a.htm"
"国内高校","f7a20510-564e-4579-ab68-454c30f9320c","news.pku.edu.cn","物理","0","approved","2026-05-29T03:04:10.894Z","https://news.pku.edu.cn/jxky/ecdbfede0aac46b299d11a26e02c4bde.htm"
"国内高校","c2754c2c-3e8c-4363-938b-21c2b520196e","news.pku.edu.cn","医学","0","approved","2026-05-29T03:04:13.073Z","https://news.pku.edu.cn/jxky/46f81e0f46894920b9a4fbf2058241d4.htm"
"国内高校","cd5250c6-3712-49cf-9199-f2a079a8bb92","news.pku.edu.cn","生命科学","0","approved","2026-05-29T03:04:15.454Z","https://news.pku.edu.cn/jxky/7e5714749a8847d598cd1623a087ced9.htm"
"国内高校","78508d37-7cd5-4a4f-8854-4820131950f3","news.pku.edu.cn","生命科学","0","approved","2026-05-29T03:04:16.428Z","https://news.pku.edu.cn/jxky/020161dd8888479faef5253aac7ccabf.htm"
"国内高校","0b843bfc-db52-40df-a73d-58fc30bda5ec","news.pku.edu.cn","物理","0","approved","2026-05-29T03:04:17.070Z","https://news.pku.edu.cn/jxky/7d4a3dea24754cf8869292d582a2ec86.htm"
"国内高校","6b9b7a81-fb4a-4f77-8103-a4b1b3b1dfea","news.pku.edu.cn","医学","0","approved","2026-05-29T03:04:21.723Z","https://news.pku.edu.cn/jxky/37d5a37e68bf4e4aae2a97bb571031c0.htm"
"国内高校","ea41f431-ba51-4aaa-ad88-dc2543830388","news.pku.edu.cn","物理","0","approved","2026-05-29T03:04:23.539Z","https://news.pku.edu.cn/jxky/78932cde575944eaa62d2d954c58b88f.htm"
"国内高校","8a7d8fc4-8c31-42d2-bb34-67d3cf76f71d","news.pku.edu.cn","物理","0","approved","2026-05-29T03:04:26.834Z","https://news.pku.edu.cn/jxky/8b1eff45918f4787b943ca10acac1cb2.htm"
"国内高校","15b26863-36a9-449c-bb69-4d76b5a5fa17","news.pku.edu.cn","信息科学","0","approved","2026-05-29T03:04:27.481Z","https://news.pku.edu.cn/jxky/c182c7bc1c0e485b8ac7a6d51dd24ae8.htm"
"国内高校","1e3a2e46-1009-4ff4-9d7f-7324190f61f1","news.pku.edu.cn","综合交叉","0","approved","2026-05-29T03:04:28.161Z","https://news.pku.edu.cn/jxky/8ea462b0676247219cd93b2aa272da4e.htm"
"国内高校","57cdcd45-b249-4887-9c37-add70b28238d","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:08:58.088Z","https://news.ustc.edu.cn/info/1155/89290.htm"
"国内高校","f56a5121-5c1b-4245-8708-5051c527655f","news.ustc.edu.cn","物理","0","approved","2026-05-29T04:08:58.359Z","https://news.ustc.edu.cn/info/1155/89291.htm"
"国内高校","0597d775-0efb-4253-bea5-dada7cc1054b","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:08:59.146Z","https://news.ustc.edu.cn/info/1055/95135.htm"
"国内高校","11d8ed28-3790-46a9-b3a8-2ff7ade40ac0","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:08:59.295Z","https://news.ustc.edu.cn/info/1055/95006.htm"
"国内高校","f2f3c2e7-fb11-4725-8178-a40105effe8a","news.ustc.edu.cn","物理","0","approved","2026-05-29T04:08:59.594Z","https://news.ustc.edu.cn/info/1055/95144.htm"
"国内高校","e56a5de6-6056-4bde-8134-869645087f37","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:01.026Z","https://news.ustc.edu.cn/info/1055/94991.htm"
"国内高校","69ca7766-931d-4a62-9a71-88eb3a04620c","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:05.814Z","https://news.ustc.edu.cn/info/1049/95068.htm"
"国内高校","14d49bec-12d3-46c6-a042-1e0ab4dea130","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:06.890Z","https://news.ustc.edu.cn/info/1049/94728.htm"
"国内高校","ab3bee0d-330a-45a1-bfa1-e94f0332276c","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:16.261Z","https://news.ustc.edu.cn/info/1049/94879.htm"
"国内高校","560d63a9-0940-4813-9e2b-06c25497e282","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:16.838Z","https://news.ustc.edu.cn/info/1049/94714.htm"
"国内高校","9e2b8c3f-b606-45c2-b17c-c2a9659faea2","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:25.273Z","https://news.ustc.edu.cn/info/1049/94719.htm"
"国内高校","e15759be-1e3d-4635-a37e-a92b9368094b","news.ustc.edu.cn","信息科学","0","approved","2026-05-29T04:09:28.672Z","https://news.ustc.edu.cn/info/1047/95067.htm"
"国内高校","e74378f9-b5e3-4f5f-8d64-34b8362df3c4","news.ustc.edu.cn","物理","0","approved","2026-05-29T04:09:31.866Z","https://news.ustc.edu.cn/info/1048/95101.htm"
"国内高校","4ea5eb61-ef53-48b4-8869-b27e100c6012","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:32.323Z","https://news.ustc.edu.cn/info/1047/95065.htm"
"国内高校","6f60c402-c358-44a0-a56e-528255a80158","news.ustc.edu.cn","材料","0","approved","2026-05-29T04:09:34.767Z","https://news.ustc.edu.cn/info/1048/95073.htm"
"国内高校","e7ae8de4-4a3e-4625-94c6-ac8605a65619","news.ustc.edu.cn","材料","0","approved","2026-05-29T04:09:35.094Z","https://news.ustc.edu.cn/info/1048/95044.htm"
"国内高校","7492a56b-47dc-49b2-a37f-0347b1f64c2e","news.ustc.edu.cn","物理","0","approved","2026-05-29T04:09:37.078Z","https://news.ustc.edu.cn/info/1056/95153.htm"
"国内高校","c5adc32f-a418-4503-b577-e19d64081fb2","news.ustc.edu.cn","工程","0","approved","2026-05-29T04:09:40.555Z","https://news.ustc.edu.cn/info/1056/95152.htm"
"国内高校","c38d5dfc-e1cf-41df-84d8-4f8870cc9e7f","news.ustc.edu.cn","工程","0","approved","2026-05-29T04:09:44.088Z","https://news.ustc.edu.cn/info/1056/95138.htm"
"国内高校","9ecf4620-5a5a-4bd0-aefd-2a5fb3ed89c1","news.ustc.edu.cn","综合交叉","0","approved","2026-05-29T04:09:44.228Z","https://news.ustc.edu.cn/info/1056/95127.htm"
"国内高校","3862f3a9-8429-4baa-9dbf-f6bfdb8ffbb0","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:31:05.388Z","http://www.news.zju.edu.cn/2025/1210/c764a3117622/page.htm"
"国内高校","ba3c76b1-dc3f-4264-a58b-e78d701164ed","www.news.zju.edu.cn","医学","0","approved","2026-06-05T03:32:22.368Z","http://www.news.zju.edu.cn/2025/1226/c764a3123976/page.htm"
"国内高校","faf359f1-b2c0-4c1f-b538-21dc67fdd587","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:25.011Z","http://www.news.zju.edu.cn/2026/0414/c764a3151223/page.htm"
"国内高校","88b3c341-9560-436e-8c21-5b81d46fa70a","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:25.111Z","http://www.news.zju.edu.cn/2026/0409/c764a3149445/page.htm"
"国内高校","69877c69-ced5-4505-bb3a-3cdca1345c5c","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:31.104Z","http://www.news.zju.edu.cn/2026/0123/c764a3130835/page.htm"
"国内高校","9cdb726e-bee2-4219-be74-c90045c0bd94","www.news.zju.edu.cn","工程","0","approved","2026-06-05T03:32:32.234Z","http://www.news.zju.edu.cn/2026/0108/c764a3127038/page.htm"
"国内高校","ade88d16-108d-4628-a251-08b72579336b","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:32.634Z","http://www.news.zju.edu.cn/2025/0911/c764a3080108/page.htm"
"国内高校","cbdb30d7-6e89-46be-9482-1f2c57804f96","www.news.zju.edu.cn","物理","0","approved","2026-06-05T03:32:34.145Z","http://www.news.zju.edu.cn/2025/0828/c764a3076591/page.htm"
"国内高校","e660f092-cb23-4ef1-85c9-0cde901c51f1","www.news.zju.edu.cn","物理","0","approved","2026-06-05T03:32:34.338Z","http://www.news.zju.edu.cn/2025/0828/c764a3076590/page.htm"
"国内高校","c51f8851-a759-4def-9e1b-fff9db84766e","www.news.zju.edu.cn","综合交叉","0","approved","2026-06-05T03:32:34.500Z","http://www.news.zju.edu.cn/2026/0331/c23266a3145703/page.htm"
"国内高校","649a125f-8d83-43a2-aef9-1d0783d550c1","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:35.630Z","http://www.news.zju.edu.cn/2025/0815/c764a3074740/page.htm"
